82;"CF541A Lézertoner HP ColorLaserJet Pro MFP M280nw, MFP M281fdn, MFP M281fdw nyomtatókhoz, HP 203A cián, 1,3k";937834;59
83;"CF542A Lézertoner HP ColorLaserJet Pro MFP M280nw, MFP M281fdn, MFP M281fdw nyomtatókhoz,  HP 203A, sárga, 1,3k";252396;59
84;"CF543A Lézertoner HP ColorLaserJet Pro MFP M280nw, MFP M281fdn, MFP M281fdw nyomtatókhoz, HP 203A, magenta, 1,3k";162799;67
85;"CF531A Lézertoner  HP Color Laserjet MFP M181fw nyomtatókhoz, HP 205A, cián, 0,9k";803073;5
86;"CF532A Lézertoner  HP Color Laserjet MFP M181fw nyomtatókhoz, HP 205A, sárga, 0,9k";779855;37
87;"CF533A Lézertoner  HP Color Laserjet MFP M181fw nyomtatókhoz, HP 205A, magenta, 0,9k";279554;100
88;"W2073A Lézertoner Color Laser 150, MFP178, MFP179 nyomtatókhoz, HP 117A, magenta, 0,7k";775897;7
89;"W2072A Lézertoner Color Laser 150, MFP178, MFP179 nyomtatókhoz, HP 117A, sárga,  0,7k";636546;51
90;"W2071A Lézertoner Color Laser 150, MFP178, MFP179 nyomtatókhoz, HP 117A, cián,  0,7k";745445;31
91;"CF540A Lézertoner HP ColorLaserJet Pro MFP M280nw, MFP M281fdn, MFP M281fdw nyomtatókhoz, HP 203A, fekete, 1,4k";526425;84
92;"CF530A Lézertoner HP Color Laserjet MFP M181fw nyomtatókhoz, HP 205A, fekete, 1,1k";900654;53
93;"CF232A Dobegység Laserjet Pro M203, M227 nyomtatókhoz, HP 32A, fekete, 23k";328331;89
94;"W2070A Lézertoner Color Laser 150, MFP178, MFP179 nyomtatókhoz, HP 117A, fekete, 1k";848343;44
95;"CLT-C404S lézertoner, TENDER®, cián, 1k";490359;91
96;"CLT-M404S lézertoner, TENDER®, magenta, 1k";238104;55
